"Facility Name","Facility ID","State","Measure Name","Number of Discharges","Excess Readmission Ratio","Predicted Readmission Rate","Expected Readmission Rate","Number of Readmissions","Start Date","End Date"
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-CABG-HRRP,"137","0.9531","10.3960","10.9078","13","07/01/2021","06/30/2024"
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-AMI-HRRP,"273","0.9370","13.2998","14.1948","33","07/01/2021","06/30/2024"
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-COPD-HRRP,"122","0.9823","16.6384","16.9389","19","07/01/2021","06/30/2024"
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-PN-HRRP,"507","0.9871","15.7529","15.9591","79","07/01/2021","06/30/2024"
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-HF-HRRP,"653","1.0233","20.5695","20.1010","136","07/01/2021","06/30/2024"
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-COPD-HRRP,"132","0.9308","16.8541","18.1080","17","07/01/2021","06/30/2024"
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-HF-HRRP,"164","1.0087","20.9512","20.7700","35","07/01/2021","06/30/2024"
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-PN-HRRP,"292","0.8727","13.3116","15.2532","30","07/01/2021","06/30/2024"
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-AMI-HRRP,"285","0.9195","11.6567","12.6772","29","07/01/2021","06/30/2024"
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-PN-HRRP,"679","0.9819","15.6444","15.9334","105","07/01/2021","06/30/2024"
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-HF-HRRP,"461","0.9925","19.2066","19.3517","88","07/01/2021","06/30/2024"
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-COPD-HRRP,"174","1.0520","19.1045","18.1604","37","07/01/2021","06/30/2024"
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-PN-HRRP,"84","1.0345","16.3360","15.7913","16","07/01/2021","06/30/2024"
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-HF-HRRP,"39","1.0620","19.6947","18.5446","12","07/01/2021","06/30/2024"
ST. VINCENT'S EAST,10011,AL,READM-30-AMI-HRRP,"118","0.9697","11.4644","11.8232","12","07/01/2021","06/30/2024"
ST. VINCENT'S EAST,10011,AL,READM-30-CABG-HRRP,"63","1.1213","12.5649","11.2054","11","07/01/2021","06/30/2024"
ST. VINCENT'S EAST,10011,AL,READM-30-HF-HRRP,"268","1.0373","19.9060","19.1894","56","07/01/2021","06/30/2024"
ST. VINCENT'S EAST,10011,AL,READM-30-COPD-HRRP,"57","0.9988","19.4501","19.4725","11","07/01/2021","06/30/2024"
ST. VINCENT'S EAST,10011,AL,READM-30-PN-HRRP,"281","1.0102","16.1282","15.9654","46","07/01/2021","06/30/2024"
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-HF-HRRP,"98","1.0840","19.6001","18.0817","25","07/01/2021","06/30/2024"
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-PN-HRRP,"142","1.0206","15.2530","14.9444","23","07/01/2021","06/30/2024"
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-PN-HRRP,"216","1.0292","16.7023","16.2284","38","07/01/2021","06/30/2024"
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-HF-HRRP,"212","1.0053","20.1019","19.9957","43","07/01/2021","06/30/2024"
